timestamp,open,high,low,close,volume
1784790000000,65790.0,65790.0,65351.02,65442.13,625.4986
1784793600000,65442.12,65665.99,65419.75,65633.0,617.22753
1784797200000,65632.99,65757.99,65608.18,65638.92,505.16907
1784800800000,65638.92,65792.09,65589.69,65740.0,314.19369
1784804400000,65740.0,65740.01,65540.93,65555.21,260.87827
1784808000000,65555.21,65589.41,64988.05,65167.04,1080.21623
1784811600000,65167.05,65221.29,64863.62,64880.0,1019.68548
1784815200000,64880.0,65216.24,64822.13,64909.99,1122.58373
1784818800000,64910.0,65023.68,64728.0,64958.36,1087.45523
1784822400000,64958.37,64961.15,64704.57,64756.84,823.97347
1784826000000,64756.84,64900.0,64650.0,64681.27,610.54166
1784829600000,64681.26,64948.05,64680.0,64869.12,473.57506
1784833200000,64869.13,64934.75,64686.56,64846.94,525.37224
1784836800000,64846.93,65217.93,64834.52,65147.5,435.69297
1784840400000,65147.5,65210.35,65014.0,65169.81,348.6782
1784844000000,65169.82,65227.99,65013.94,65195.43,465.02672
1784847600000,65195.43,65235.43,65052.01,65098.97,514.02333
1784851200000,65098.98,65113.86,64762.18,64973.99,343.41298
1784854800000,64974.0,65168.0,64944.37,65086.0,666.39562
1784858400000,65086.0,65187.57,64925.45,65116.99,432.3739
1784862000000,65116.99,65464.35,65078.0,65456.7,382.6998
1784865600000,65456.7,65469.86,65272.26,65318.0,299.6958
1784869200000,65318.01,65394.0,65248.0,65325.0,372.30415
1784872800000,65325.01,65519.93,65278.07,65472.0,914.26438
1784876400000,65472.0,65808.59,65320.69,65499.95,1219.60281
1784880000000,65499.94,65508.17,65302.18,65302.18,306.26025
1784883600000,65302.18,65314.66,64952.38,65113.13,478.93491
1784887200000,65113.13,65157.99,64906.85,64950.0,716.12782
1784890800000,64950.01,65099.99,64857.14,65083.43,751.17375
1784894400000,65083.42,65133.99,64766.0,64780.01,507.45117
1784898000000,64780.0,64802.0,63920.01,64155.46,2007.68582
1784901600000,64155.47,64198.3,63739.75,64055.12,1591.08926
1784905200000,64055.11,64333.33,63858.0,64093.85,1939.18979
1784908800000,64093.86,64200.0,63881.46,63958.0,529.35925
1784912400000,63958.01,64202.91,63905.51,64180.0,525.47557
1784916000000,64180.0,64290.1,64129.75,64272.0,390.98725
1784919600000,64272.01,64292.44,64141.18,64225.32,579.59462
1784923200000,64225.32,64288.02,64128.89,64170.23,214.82759
1784926800000,64170.24,64258.73,64122.29,64155.0,651.81342
1784930400000,64155.0,64216.27,64121.86,64169.01,587.59798
1784934000000,64169.01,64187.4,64134.71,64139.99,412.95391
1784937600000,64140.0,64179.03,64033.18,64073.61,386.54772
1784941200000,64073.61,64160.0,64006.55,64068.01,493.07694
1784944800000,64068.0,64099.99,64017.87,64052.0,479.58839
1784948400000,64052.01,64105.61,64016.65,64085.36,469.51581
1784952000000,64085.36,64205.67,64085.15,64181.46,171.38031
1784955600000,64181.45,64199.76,63980.01,64024.0,245.62438
1784959200000,64024.0,64063.37,63964.57,64010.0,248.54758
1784962800000,64010.0,64038.52,64000.0,64003.2,408.36611
1784966400000,64003.2,64010.01,63810.0,63876.06,507.52898
1784970000000,63876.07,64024.72,63830.0,63999.99,1813.6121
1784973600000,64000.0,64070.0,63996.0,64070.0,200.57959
1784977200000,64069.99,64113.0,64047.09,64064.01,226.46632
1784980800000,64064.01,64123.8,64043.0,64123.8,179.4102
1784984400000,64123.8,64267.78,64106.74,64172.0,285.46591
1784988000000,64172.01,64217.09,64126.0,64214.04,270.20323
1784991600000,64214.05,64272.0,64169.99,64182.0,193.98029
1784995200000,64182.01,64241.71,64123.0,64206.6,126.61028
1784998800000,64206.61,64356.0,64194.37,64267.4,187.81706
1785002400000,64267.41,64475.28,64267.41,64415.99,314.52068
1785006000000,64415.99,64438.12,64388.38,64388.38,219.4973
1785009600000,64388.39,64392.74,64313.0,64339.75,213.90166
1785013200000,64339.75,64430.0,64263.03,64344.02,177.06463
1785016800000,64344.02,64426.0,64344.01,64412.0,625.93723
1785020400000,64412.01,64429.38,64363.0,64375.0,417.8076
1785024000000,64375.01,64507.0,64350.0,64506.99,256.73658
1785027600000,64506.99,64541.66,64456.67,64462.0,277.18148
1785031200000,64462.0,64527.59,64427.59,64527.56,117.0226
1785034800000,64527.57,64582.0,64488.73,64557.0,304.96319
1785038400000,64557.0,64599.95,64491.73,64530.06,425.16453
1785042000000,64530.06,64530.07,64403.95,64417.69,131.14508
1785045600000,64417.68,64457.55,64293.81,64438.0,408.23581
1785049200000,64438.01,64460.0,64341.99,64370.0,273.49735
1785052800000,64370.0,64493.99,64353.0,64480.01,204.14991
1785056400000,64480.02,64549.02,64478.38,64538.0,164.82486
1785060000000,64538.01,64573.73,64497.62,64515.4,137.0474
1785063600000,64515.39,64535.99,64495.17,64507.35,174.84399
1785067200000,64507.36,64662.99,64434.0,64466.67,319.29329
1785070800000,64466.68,64571.42,64414.0,64518.0,319.1541
1785074400000,64517.99,64768.23,64517.99,64712.99,504.24215
1785078000000,64713.0,64827.0,64673.42,64768.0,313.86895
1785081600000,64768.0,64940.51,64703.23,64734.17,420.05042
1785085200000,64734.17,64794.45,64668.91,64697.2,347.81315
1785088800000,64697.21,64769.99,64668.91,64734.38,114.76281
1785092400000,64734.39,64753.0,64671.91,64695.52,369.55718
1785096000000,64695.52,64703.36,64631.57,64649.04,120.01782
1785099600000,64649.04,64924.0,64649.03,64858.02,268.26505
1785103200000,64858.03,65502.6,64858.03,65412.68,1331.07392
1785106800000,65412.69,65577.0,65273.76,65399.99,630.14927
1785110400000,65400.0,65418.81,65065.46,65131.95,465.77387
1785114000000,65131.96,65225.75,64892.03,65206.21,478.78723
1785117600000,65206.21,65281.64,65118.08,65172.0,475.81825
1785121200000,65172.02,65367.73,65161.99,65284.0,519.18282
1785124800000,65284.0,65500.0,65242.69,65282.8,331.55981
1785128400000,65282.81,65493.38,65282.8,65468.38,284.79372
1785132000000,65468.38,65744.6,65404.9,65416.76,867.3473
1785135600000,65416.77,65447.02,65217.16,65221.99,1066.09119
1785139200000,65221.99,65258.0,65128.85,65162.98,724.97518
1785142800000,65162.98,65348.17,65100.0,65262.17,1478.16072
1785146400000,65262.18,65432.0,65230.01,65333.35,412.29993
1785150000000,65333.35,65333.36,65092.0,65100.79,287.15002
1785153600000,65100.79,65255.76,64836.0,65086.0,587.73231
1785157200000,65086.0,65718.0,64913.12,65217.37,1076.54142
1785160800000,65217.38,65431.9,64459.82,64687.45,1132.47674
1785164400000,64687.45,64776.0,64418.01,64554.01,596.28993
1785168000000,64554.0,64970.93,64517.78,64898.52,473.37301
1785171600000,64898.53,65090.0,64794.37,65019.81,404.49207
1785175200000,65019.81,65058.32,64755.67,64878.0,323.26344
1785178800000,64878.0,65078.0,64810.9,64984.0,291.82434
1785182400000,64983.99,65056.0,64908.01,64960.65,197.69959
1785186000000,64960.64,64960.65,64790.28,64821.25,238.07403
1785189600000,64821.26,64821.26,63792.0,63792.0,1130.54656
1785193200000,63792.01,63940.27,63605.56,63755.86,947.65195
1785196800000,63755.86,63827.49,63469.3,63487.88,711.04544
1785200400000,63487.88,63529.89,63059.39,63230.83,1245.20979
1785204000000,63230.82,63305.94,63108.0,63185.59,429.21894
1785207600000,63185.59,63375.39,63168.01,63343.83,728.50056
1785211200000,63343.82,63361.85,63221.26,63350.95,343.17382
1785214800000,63350.95,63623.5,63323.09,63451.61,390.51839
1785218400000,63451.62,63660.72,63395.13,63640.63,460.72288
